"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-101,"Echols County",0.6,17,-2.01,2.61
GA-103,"Effingham County",1.14,28,-1.52,2.66
GA-105,"Elbert County",0.84,18,-2.17,3.01
GA-107,"Emanuel County",1.92,62,-0.6,2.52
GA-109,"Evans County",1.23,34,-1.34,2.57
GA-111,"Fannin County",1.44,19,-2.16,3.6
GA-113,"Fayette County",1.93,49,-0.82,2.75
GA-115,"Floyd County",2.02,45,-0.96,2.98
GA-117,"Forsyth County",1.61,30,-1.66,3.27
GA-119,"Franklin County",0.92,19,-2.32,3.24
GA-121,"Fulton County",1.92,38,-1.03,2.95
GA-123,"Gilmer County",1.48,19,-2.21,3.69
GA-125,"Glascock County",1.81,52,-0.93,2.74
GA-127,"Glynn County",1.67,34,-1.81,3.48
GA-129,"Gordon County",1.59,30,-1.49,3.08
GA-131,"Grady County",1.19,36,-1.25,2.44
GA-133,"Greene County",0.93,26,-1.83,2.76
GA-135,"Gwinnett County",1.61,32,-1.52,3.13
GA-137,"Habersham County",1.06,14,-3.05,4.11
GA-139,"Hall County",1.25,22,-2.21,3.46
GA-141,"Hancock County",1.37,35,-1.27,2.64
GA-143,"Haralson County",2.36,54,-0.52,2.88
GA-145,"Harris County",2.16,68,-0.38,2.54
GA-147,"Hart County",0.83,17,-2.27,3.1
GA-149,"Heard County",2.59,64,-0.12,2.71
GA-151,"Henry County",2.02,48,-0.78,2.8
GA-153,"Houston County",1.03,40,-1.33,2.36
GA-155,"Irwin County",1.41,50,-0.9,2.31
GA-157,"Jackson County",0.97,21,-2.26,3.23
GA-159,"Jasper County",1.69,42,-1.03,2.72
GA-161,"Jeff Davis County",2.13,74,-0.33,2.46
GA-163,"Jefferson County",2.39,69,-0.31,2.7
GA-165,"Jenkins County",2.32,72,-0.25,2.57
GA-167,"Johnson County",1.74,55,-0.77,2.51
GA-169,"Jones County",1.03,29,-1.5,2.53
GA-171,"Lamar County",1.52,40,-1.08,2.6
GA-173,"Lanier County",1.43,41,-1.0,2.43
GA-175,"Laurens County",1.27,43,-1.18,2.45
GA-177,"Lee County",1.53,56,-0.7,2.23
GA-179,"Liberty County",1.19,31,-1.64,2.83
GA-181,"Lincoln County",1.11,28,-1.83,2.94
GA-183,"Long County",1.54,40,-1.23,2.77
GA-185,"Lowndes County",0.82,26,-1.62,2.44
GA-187,"Lumpkin County",1.61,24,-2.28,3.89
GA-189,"McDuffie County",1.54,41,-1.38,2.92
GA-191,"McIntosh County",1.45,28,-1.86,3.31
GA-193,"Macon County",1.58,50,-0.68,2.26
GA-195,"Madison County",0.82,19,-2.34,3.16
GA-197,"Marion County",1.9,55,-0.39,2.29
GA-199,"Meriwether County",1.87,56,-0.74,2.61
GA-201,"Miller County",2.21,70,-0.15,2.36
GA-205,"Mitchell County",1.43,51,-0.81,2.24
GA-207,"Monroe County",1.27,36,-1.28,2.55
GA-209,"Montgomery County",1.74,57,-0.67,2.41
GA-211,"Morgan County",1.25,28,-1.61,2.86
GA-213,"Murray County",1.6,26,-1.66,3.26
GA-215,"Muscogee County",2.1,67,-0.23,2.33
GA-217,"Newton County",2.01,47,-0.87,2.88
GA-219,"Oconee County",1.02,24,-2.0,3.02
GA-221,"Oglethorpe County",0.75,18,-2.22,2.97
GA-223,"Paulding County",1.85,41,-1.09,2.94
GA-225,"Peach County",1.09,40,-1.32,2.41
GA-227,"Pickens County",1.21,17,-2.16,3.37
GA-229,"Pierce County",2.47,65,-0.29,2.76
GA-231,"Pike County",1.6,42,-1.0,2.6
GA-233,"Polk County",1.86,43,-0.96,2.82
GA-235,"Pulaski County",1.1,41,-1.18,2.28
GA-237,"Putnam County",1.32,32,-1.32,2.64
GA-239,"Quitman County",1.81,62,-0.49,2.3
GA-241,"Rabun County",1.15,13,-3.42,4.57
GA-243,"Randolph County",1.81,60,-0.48,2.29
GA-245,"Richmond County",2.12,62,-0.62,2.74
GA-247,"Rockdale County",2.03,48,-0.9,2.93
GA-249,"Schley County",1.76,56,-0.54,2.3
GA-251,"Screven County",1.84,60,-0.67,2.51
GA-253,"Seminole County",2.41,74,-0.02,2.43
GA-255,"Spalding County",1.81,47,-0.86,2.67
GA-257,"Stephens County",1.07,20,-2.62,3.69
GA-259,"Stewart County",1.87,63,-0.36,2.23
GA-261,"Sumter County",1.63,53,-0.65,2.28
GA-263,"Talbot County",1.83,55,-0.64,2.47
GA-265,"Taliaferro County",0.93,25,-1.9,2.83
GA-267,"Tattnall County",1.57,48,-0.98,2.55
GA-269,"Taylor County",1.6,49,-0.76,2.36
GA-271,"Telfair County",1.65,56,-0.81,2.46
GA-273,"Terrell County",1.67,59,-0.64,2.31
GA-275,"Thomas County",0.75,20,-1.68,2.43
GA-277,"Tift County",1.14,41,-1.11,2.25
GA-279,"Toombs County",1.76,57,-0.7,2.46
GA-281,"Towns County",1.04,13,-2.85,3.89
GA-283,"Treutlen County",1.58,51,-0.88,2.46
GA-285,"Troup County",2.22,63,-0.36,2.58
GA-287,"Turner County",1.31,49,-0.95,2.26
GA-289,"Twiggs County",0.85,27,-1.58,2.43
GA-291,"Union County",1.32,17,-2.47,3.79
GA-293,"Upson County",1.38,40,-1.12,2.5
GA-295,"Walker County",2.13,37,-1.13,3.26
GA-297,"Walton County",1.45,31,-1.63,3.08
GA-299,"Ware County",1.96,49,-0.73,2.69
GA-301,"Warren County",1.47,37,-1.37,2.84
GA-303,"Washington County",1.62,52,-0.92,2.54
GA-305,"Wayne County",2.1,53,-0.76,2.86
GA-307,"Webster County",1.81,58,-0.47,2.28
GA-309,"Wheeler County",1.69,55,-0.72,2.41
GA-311,"White County",1.29,18,-2.76,4.05
GA-313,"Whitfield County",1.67,31,-1.49,3.16
